"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
6.965108100E-2,8.075776696E-2,-1.208375469E-1,9.752547264E0
1.196510810E-1,8.554340899E-2,-1.016949639E-1,9.756733894E0
1.696510810E-1,9.032905847E-2,-1.064806059E-1,9.747162819E0
2.196510810E-1,6.640082598E-2,-1.058823988E-1,9.766305923E0
2.696510810E-1,8.075776696E-2,-1.112662554E-1,9.751948357E0
3.196510810E-1,8.075776696E-2,-1.064806059E-1,9.761520386E0
3.696510810E-1,8.554340899E-2,-9.212367237E-2,9.756733894E0
4.196510810E-1,8.075776696E-2,-9.690931439E-2,9.775876999E0
4.696510810E-1,7.118647546E-2,-9.212367237E-2,9.757332802E0
5.196510810E-1,8.075776696E-2,-9.690931439E-2,9.742975235E0
5.696510810E-1,9.032905847E-2,-9.690931439E-2,9.752547264E0
6.196510810E-1,7.118647546E-2,-1.351944804E-1,9.776474953E0
6.696510810E-1,5.204389244E-2,-5.324030295E-2,9.737591743E0
7.196510810E-1,9.511470050E-2,-7.298108935E-2,9.728618622E0
7.696510810E-1,9.511470050E-2,-6.819544733E-2,9.751948357E0
8.196510810E-1,8.075776696E-2,-7.298108935E-2,9.747162819E0
8.696510810E-1,8.554340899E-2,-1.016949639E-1,9.786046028E0
9.196510810E-1,8.075776696E-2,-7.776673883E-2,9.747760773E0
9.696510810E-1,7.597211748E-2,-6.819544733E-2,9.756733894E0
1.019651081E0,7.597211748E-2,-1.064806059E-1,9.780662537E0
1.069651081E0,1.088734269E-1,-1.830509305E-1,9.742975235E0
1.119651081E0,-1.417747438E-1,-4.983053207E-1,9.829715729E0
1.169651081E0,-6.400800496E-2,-1.680957973E-1,9.700503349E0
1.219651081E0,1.806581169E-1,-2.452643216E-1,9.786046028E0
1.269651081E0,5.623133108E-2,-1.351944804E-1,9.747760773E0
1.319651081E0,9.032905847E-2,-3.948157281E-2,9.742975235E0
1.369651081E0,7.657032460E-2,8.973085135E-2,9.756733894E0
1.419651081E0,1.046859920E-1,-2.033899166E-2,9.719047546E0
1.469651081E0,4.247260094E-2,-7.238288224E-2,9.747760773E0
1.519651081E0,8.554340899E-2,-7.776673883E-2,9.766903877E0
1.569651081E0,8.494520187E-2,-1.304088384E-1,9.762118340E0
1.619651081E0,6.640082598E-2,-8.255238086E-2,9.781260490E0
1.669651081E0,7.597211748E-2,-7.298108935E-2,9.762118340E0
1.719651081E0,7.537391037E-2,-9.212367237E-2,9.747760773E0
1.769651081E0,6.580262631E-2,-1.064806059E-1,9.752547264E0
1.819651081E0,7.058826834E-2,-1.256231815E-1,9.752547264E0
1.869651081E0,6.580262631E-2,-1.160518974E-1,9.762118340E0
1.919651081E0,7.537391037E-2,-1.160518974E-1,9.738189697E0
1.969651081E0,7.058826834E-2,-9.690931439E-2,9.757332802E0
2.019651081E0,7.058826834E-2,-1.064806059E-1,9.757332802E0
2.069651081E0,7.118647546E-2,-9.690931439E-2,9.786046028E0
2.119651081E0,6.580262631E-2,-1.064806059E-1,9.738189697E0
2.169651081E0,6.580262631E-2,-1.160518974E-1,9.742975235E0
2.219651081E0,8.973085135E-2,-1.304088384E-1,9.762118340E0
2.269651081E0,8.015955985E-2,-1.016949639E-1,9.757332802E0
2.319651081E0,5.682953820E-2,-8.255238086E-2,9.757332802E0
2.369651081E0,7.058826834E-2,-9.690931439E-2,9.747760773E0
2.419651081E0,6.580262631E-2,-1.639083475E-1,9.719047546E0
2.469651081E0,5.204389244E-2,-9.212367237E-2,9.757332802E0
2.519651081E0,1.094716340E-1,-6.340979785E-2,9.762118340E0
2.569651081E0,8.015955985E-2,-1.016949639E-1,9.733404160E0
2.619651081E0,5.144568533E-2,-1.830509305E-1,9.781260490E0
2.669651081E0,8.494520187E-2,-1.016949639E-1,9.781260490E0
2.719651081E0,8.494520187E-2,-1.160518974E-1,9.776474953E0
2.769651081E0,7.058826834E-2,-1.160518974E-1,9.766903877E0
2.819651081E0,7.537391037E-2,-1.112662554E-1,9.738189697E0
2.869651081E0,8.015955985E-2,-1.208375469E-1,9.757332802E0
2.919651081E0,8.015955985E-2,-1.208375469E-1,9.766903877E0
2.969651081E0,7.058826834E-2,-1.256231815E-1,9.766903877E0
3.019651081E0,7.058826834E-2,-1.208375469E-1,9.757332802E0
3.069651081E0,6.580262631E-2,-1.160518974E-1,9.757332802E0
3.119651081E0,7.058826834E-2,-1.208375469E-1,9.742975235E0
3.169651081E0,7.058826834E-2,-1.208375469E-1,9.766903877E0
3.219651081E0,7.058826834E-2,-1.160518974E-1,9.771689415E0
3.269651081E0,7.537391037E-2,-1.112662554E-1,9.762118340E0
3.319651081E0,8.015955985E-2,-1.160518974E-1,9.752547264E0
3.369651081E0,1.190429255E-1,-8.255238086E-2,9.852447510E0
3.419651081E0,1.094716340E-1,-1.555334684E-2,9.776474953E0
3.469651081E0,8.015955985E-2,-7.776673883E-2,9.709476471E0
3.519651081E0,4.187439755E-2,-1.447657645E-1,9.762118340E0
3.569651081E0,8.015955985E-2,-1.447657645E-1,9.762118340E0
3.619651081E0,7.537391037E-2,-1.112662554E-1,9.766903877E0
3.669651081E0,7.058826834E-2,-1.064806059E-1,9.762118340E0
3.719651081E0,8.494520187E-2,-1.016949639E-1,9.776474953E0
3.769651081E0,7.058826834E-2,-1.112662554E-1,9.776474953E0
3.819651081E0,7.058826834E-2,-1.208375469E-1,9.771689415E0
3.869651081E0,6.101697683E-2,-8.733802289E-2,9.771689415E0
3.919651081E0,7.537391037E-2,-1.016949639E-1,9.728618622E0
3.969651081E0,4.546362907E-2,-1.728814393E-1,9.638289452E0
4.019651081E0,-4.905286431E-2,-1.202393398E-1,9.743574142E0
4.069651081E0,1.854437590E-1,-1.310070455E-1,9.719047546E0
4.119651081E0,2.333002165E-2,1.316052489E-2,9.747760773E0
4.169651081E0,1.232303679E-1,-1.112662554E-1,9.762118340E0
4.219651081E0,7.058826834E-2,-1.208375469E-1,9.757332802E0
4.269651081E0,7.058826834E-2,-1.686939895E-1,9.776474953E0
4.319651081E0,8.015955985E-2,-1.686939895E-1,9.771689415E0
4.369651081E0,7.537391037E-2,-1.591227055E-1,9.781260490E0
4.419651081E0,7.058826834E-2,-1.016949639E-1,9.738189697E0
4.469651081E0,8.015955985E-2,-9.212367237E-2,9.757332802E0
4.519651081E0,7.537391037E-2,-1.016949639E-1,9.766903877E0
4.569651081E0,7.058826834E-2,-1.208375469E-1,9.781260490E0
4.619651081E0,7.058826834E-2,-1.208375469E-1,9.757332802E0
4.669651081E0,8.973085135E-2,-1.112662554E-1,9.771689415E0
4.719651081E0,8.494520187E-2,-1.399801224E-1,9.757930756E0
4.769651081E0,8.494520187E-2,-1.160518974E-1,9.757332802E0
4.819651081E0,7.118647546E-2,3.589233849E-3,9.714262009E0
4.869651081E0,1.381855011E-1,-3.948157281E-2,9.742975235E0
4.919651081E0,4.187439755E-2,-1.304088384E-1,9.766903877E0
4.969651081E0,8.494520187E-2,-1.686939895E-1,9.786046028E0
5.019651081E0,6.580262631E-2,-1.304088384E-1,9.762118340E0
5.069651081E0,5.144568533E-2,-1.112662554E-1,9.771689415E0
5.119651081E0,8.494520187E-2,-9.690931439E-2,9.771689415E0
5.169651081E0,7.537391037E-2,-1.112662554E-1,9.771689415E0
5.219651081E0,7.537391037E-2,-9.212367237E-2,9.752547264E0
5.269651081E0,7.058826834E-2,-1.208375469E-1,9.771689415E0
5.319651081E0,7.537391037E-2,-1.160518974E-1,9.743574142E0
5.369651081E0,7.537391037E-2,-1.208375469E-1,9.781260490E0
5.419651081E0,7.058826834E-2,-1.112662554E-1,9.767501831E0
5.469651081E0,7.058826834E-2,-1.016949639E-1,9.757332802E0
5.519651081E0,6.580262631E-2,-1.208375469E-1,9.762118340E0
5.569651081E0,5.623133108E-2,-1.304088384E-1,9.753145218E0
5.619651081E0,6.101697683E-2,-1.304088384E-1,9.767501831E0
5.669651081E0,8.015955985E-2,-1.256231815E-1,9.748359680E0
5.719651081E0,6.101697683E-2,-1.256231815E-1,9.771689415E0
5.769651081E0,7.537391037E-2,-1.208375469E-1,9.781260490E0
5.819651081E0,8.973085135E-2,-1.160518974E-1,9.757930756E0
5.869651081E0,7.058826834E-2,-1.208375469E-1,9.752547264E0
5.919651081E0,8.494520187E-2,-1.112662554E-1,9.771689415E0
5.969651081E0,8.015955985E-2,-1.016949639E-1,9.762118340E0
6.019651081E0,7.537391037E-2,-1.160518974E-1,9.757332802E0
6.069651081E0,8.015955985E-2,-1.016949639E-1,9.762716293E0
6.119651081E0,6.101697683E-2,-1.160518974E-1,9.781260490E0
6.169651081E0,7.537391037E-2,-1.208375469E-1,9.743574142E0
6.219651081E0,7.058826834E-2,-1.112662554E-1,9.753145218E0
6.269651081E0,7.537391037E-2,-1.064806059E-1,9.762716293E0
6.319651081E0,3.708875179E-2,-1.351944804E-1,9.781859398E0
6.369651081E0,8.973085135E-2,-1.016949639E-1,9.743574142E0
