"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
8.455110900E-2,6.108652451E-4,7.635815418E-4,-3.054326226E-4
1.345511090E-1,-3.054326167E-3,7.635815418E-4,-3.054326226E-4
1.845511090E-1,-1.832595794E-3,7.635815418E-4,-3.054326226E-4
2.345511090E-1,-6.108652451E-4,-4.581489484E-4,-3.054326226E-4
2.845511090E-1,1.832595794E-3,7.635815418E-4,-3.054326226E-4
3.345511090E-1,-6.108652451E-4,7.635815418E-4,-3.054326226E-4
3.845511090E-1,6.108652451E-4,-4.581489484E-4,-3.054326226E-4
4.345511090E-1,-6.108652451E-4,-4.581489484E-4,9.162978968E-4
4.845511090E-1,-6.108652451E-4,-1.679879380E-3,-3.054326226E-4
5.345511090E-1,-1.832595794E-3,7.635815418E-4,-3.054326226E-4
5.845511090E-1,-6.108652451E-4,-4.581489484E-4,-3.054326226E-4
6.345511090E-1,1.832595794E-3,-4.581489484E-4,-3.054326226E-4
6.845511090E-1,7.941247895E-3,-1.832595794E-3,7.635815418E-4
7.345511090E-1,7.941247895E-3,-1.832595794E-3,-4.581489484E-4
7.845511090E-1,1.832595794E-3,7.635815418E-4,9.162978968E-4
8.345511090E-1,-6.108652451E-4,1.985311974E-3,-3.054326226E-4
8.845511090E-1,6.108652451E-4,7.635815418E-4,9.162978968E-4
9.345511090E-1,6.108652451E-4,-4.581489484E-4,-3.054326226E-4
9.845511090E-1,6.108652451E-4,-4.581489484E-4,9.162978968E-4
1.034551109E0,6.108652451E-4,-4.581489484E-4,-3.054326226E-4
1.084551109E0,-1.832595794E-3,-2.901609987E-3,-3.054326226E-4
1.134551109E0,1.511891466E-2,-9.010262787E-3,-2.901609987E-3
1.184551109E0,5.497787148E-3,-6.566801574E-3,-4.581489484E-4
1.234551109E0,9.162978269E-3,6.108652451E-4,7.635815418E-4
1.284551109E0,7.941247895E-3,-6.108652451E-4,-4.581489484E-4
1.334551109E0,6.719517522E-3,-4.123340361E-3,7.635815418E-4
1.384551109E0,4.276056774E-3,-4.123340361E-3,9.162978968E-4
1.434551109E0,1.160643995E-2,-1.832595794E-3,7.635815418E-4
1.484551109E0,6.719517522E-3,-6.108652451E-4,7.635815418E-4
1.534551109E0,1.832595794E-3,-1.679879380E-3,-3.054326226E-4
1.584551109E0,-6.108652451E-4,7.635815418E-4,9.162978968E-4
1.634551109E0,-3.054326167E-3,-4.581489484E-4,9.162978968E-4
1.684551109E0,-3.054326167E-3,7.635815418E-4,-3.054326226E-4
1.734551109E0,-4.581489484E-4,1.985311974E-3,9.162978968E-4
1.784551109E0,-6.108652451E-4,1.985311974E-3,-3.054326226E-4
1.834551109E0,6.108652451E-4,7.635815418E-4,-3.054326226E-4
1.884551109E0,-4.581489484E-4,1.985311974E-3,9.162978968E-4
1.934551109E0,-6.108652451E-4,-1.679879380E-3,9.162978968E-4
