"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
0.000000000E0,4.544726440E1,-7.379805260E1,5.181619023E1,0.000000000E0,6.118936157E1,2.463199997E1,9.429767609E0
1.948016765E0,4.544688041E1,-7.379676242E1,2.228642877E1,0.000000000E0,6.118936157E1,1.408278370E1,1.465114880E1
3.043337526E0,4.544693199E1,-7.379678013E1,2.217698474E1,0.000000000E0,6.118936157E1,4.277641773E0,2.738456345E1
4.052077272E0,4.544693884E1,-7.379678185E1,1.639429601E1,0.000000000E0,6.118936157E1,9.414026260E0,1.585409260E1
5.085354698E0,4.544693571E1,-7.379678113E1,1.529320086E1,0.000000000E0,6.118936157E1,9.205842972E0,1.203763103E1
6.128431155E0,4.544693957E1,-7.379679122E1,1.612899485E1,0.000000000E0,6.118936157E1,1.110544491E1,1.504439449E1
7.086409061E0,4.544693841E1,-7.379685743E1,1.964078381E1,0.000000000E0,6.118936157E1,5.038839817E0,5.776927471E0
8.094383874E0,4.544693494E1,-7.379686776E1,2.046027023E1,0.000000000E0,6.118936157E1,3.901758671E0,4.275013924E0
9.594445640E0,4.544693568E1,-7.379685730E1,2.005558635E1,0.000000000E0,6.118936157E1,3.049979925E0,3.027511120E0
1.059445864E1,4.544693856E1,-7.379684547E1,1.910613801E1,0.000000000E0,6.118936157E1,2.875550270E0,3.000000000E0
1.159450764E1,4.544694071E1,-7.379683706E1,1.863680728E1,0.000000000E0,6.118936157E1,2.764963627E0,3.000000000E0
1.259448664E1,4.544694332E1,-7.379682770E1,1.819715812E1,0.000000000E0,6.118936157E1,2.724875689E0,3.000000000E0
1.359449964E1,4.544694392E1,-7.379682449E1,1.797678707E1,1.033266187E0,6.118936157E1,2.692124844E0,3.000000000E0
1.459452064E1,4.544694994E1,-7.379681035E1,1.802191209E1,2.018960476E0,4.752893829E1,2.553797960E0,3.000000000E0
1.559453064E1,4.544696267E1,-7.379679334E1,1.825334779E1,2.541480541E0,2.832525063E1,2.498481274E0,3.000000000E0
1.659454764E1,4.544698846E1,-7.379678132E1,1.782341337E1,3.270838499E0,3.586938477E2,2.504278660E0,3.000000000E0
1.759457364E1,4.544702296E1,-7.379679177E1,1.755120629E1,3.893006086E0,3.342663879E2,2.502672434E0,3.000000000E0
1.859457864E1,4.544705858E1,-7.379682222E1,1.752846701E1,4.110319614E0,3.257847595E2,2.482042313E0,3.000000000E0
1.959458964E1,4.544709230E1,-7.379685967E1,1.764172452E1,4.193072796E0,3.249186401E2,2.456188440E0,3.000000000E0
2.059460264E1,4.544712396E1,-7.379689595E1,1.797917917E1,4.091587067E0,3.276142273E2,2.432006359E0,3.000000000E0
2.159461364E1,4.544715199E1,-7.379691872E1,1.852506391E1,3.343092918E0,3.329257812E2,2.111524343E0,3.000000000E0
2.259462564E1,4.544716546E1,-7.379692668E1,1.858568930E1,1.617310166E0,3.359528198E2,1.902411938E0,3.000000000E0
2.359465464E1,4.544717704E1,-7.379693318E1,1.831151716E1,1.134120584E0,3.391849365E2,1.769512892E0,3.000000000E0
2.459468264E1,4.544719619E1,-7.379694200E1,1.812719185E1,2.001463413E0,3.406806946E2,1.659417391E0,3.000000000E0
2.559468964E1,4.544721922E1,-7.379695266E1,1.803781489E1,2.737306595E0,3.430494080E2,1.538470387E0,3.000000000E0
2.659470964E1,4.544725341E1,-7.379696847E1,1.801428870E1,4.064723969E0,3.441965942E2,1.444292545E0,3.000000000E0
2.759471864E1,4.544729761E1,-7.379698770E1,1.808742459E1,5.181906700E0,3.450662231E2,1.366181016E0,3.000000000E0
2.859473564E1,4.544734589E1,-7.379700795E1,1.811791968E1,5.588212013E0,3.453591614E2,1.299076080E0,3.000000000E0
2.959475264E1,4.544740081E1,-7.379702609E1,1.798240610E1,6.367437363E0,3.464502563E2,1.243532419E0,3.000000000E0
3.059477664E1,4.544746840E1,-7.379704222E1,1.789728237E1,7.718282700E0,3.499278259E2,1.189427972E0,3.000000000E0
3.159477964E1,4.544754960E1,-7.379705160E1,1.776528234E1,9.054941177E0,3.556181641E2,1.142287493E0,3.000000000E0
3.259480364E1,4.544763256E1,-7.379705890E1,1.777096799E1,1.025185680E1,4.329429150E0,1.780224085E0,3.000000000E0
3.359480164E1,4.544774094E1,-7.379702031E1,1.801088455E1,1.186578751E1,1.562881470E1,1.643612385E0,1.630399227E0
3.459497964E1,4.544784167E1,-7.379696537E1,1.779895898E1,1.178554153E1,2.545564270E1,2.547357559E0,1.648689270E0
3.559488264E1,4.544793567E1,-7.379688638E1,1.771254306E1,1.199408627E1,3.555546951E1,2.145376682E0,1.636055946E0
3.659483564E1,4.544801947E1,-7.379677938E1,1.806942228E1,1.286952400E1,4.776410294E1,2.690564871E0,1.615461111E0
3.759485964E1,4.544808865E1,-7.379663856E1,1.855111536E1,1.387380505E1,5.897566986E1,2.218947649E0,1.602345824E0
3.859496264E1,4.544814643E1,-7.379647420E1,1.881692214E1,1.496849728E1,6.593365479E1,2.641386986E0,1.590187788E0
3.959489464E1,4.544819871E1,-7.379629158E1,1.872046790E1,1.605045700E1,6.846763611E1,2.220190048E0,1.588099599E0
4.059497364E1,4.544825323E1,-7.379608973E1,1.853423902E1,1.723774910E1,6.986386871E1,1.967549801E0,1.599898696E0
4.159496664E1,4.544830843E1,-7.379587133E1,1.838431039E1,1.803352547E1,7.093407440E1,1.786262512E0,1.595803857E0
4.259492064E1,4.544836025E1,-7.379565068E1,1.810623854E1,1.805499840E1,7.185764313E1,1.645683765E0,1.598883986E0
4.359493964E1,4.544840929E1,-7.379542950E1,1.806369286E1,1.878024864E1,7.265414429E1,1.535494804E0,1.590418100E0
4.459495564E1,4.544846071E1,-7.379519460E1,1.786664633E1,1.954819870E1,7.328070068E1,1.434042692E0,1.580772877E0
4.559503464E1,4.544850898E1,-7.379494927E1,1.756912931E1,2.046014214E1,7.417899323E1,1.349991798E0,1.586805701E0
4.659499364E1,4.544855663E1,-7.379468876E1,1.786903557E1,2.123961639E1,7.520139313E1,1.275913715E0,1.584253311E0
4.759501964E1,4.544860373E1,-7.379442012E1,1.809815827E1,2.210131454E1,7.640598297E1,1.217446208E0,1.584679008E0
4.859502264E1,4.544864915E1,-7.379414081E1,1.809119849E1,2.290205002E1,7.753291321E1,1.164627552E0,1.588640094E0
4.959504564E1,4.544869275E1,-7.379384980E1,1.797520844E1,2.363393211E1,7.858412933E1,1.119081378E0,1.588233829E0
5.059506364E1,4.544873222E1,-7.379354732E1,1.810274395E1,2.453718758E1,7.956574249E1,1.079123735E0,1.595452189E0
5.159507964E1,4.544877038E1,-7.379323670E1,1.821978713E1,2.478181839E1,8.023665619E1,1.044735789E0,1.602455616E0
5.259508464E1,4.544880745E1,-7.379292582E1,1.788832187E1,2.452737999E1,8.081513214E1,2.436334610E0,1.614510655E0
5.359510764E1,4.544884283E1,-7.379261660E1,1.810506313E1,2.487403107E1,8.111523438E1,3.088175774E0,1.626326561E0
5.459511064E1,4.544887904E1,-7.379230062E1,1.812542579E1,2.563745308E1,8.091851807E1,3.115361214E0,1.621431231E0
5.559513364E1,4.544891766E1,-7.379197137E1,1.805901583E1,2.645579910E1,8.112158966E1,3.215307713E0,1.639804125E0
5.659519664E1,4.544895475E1,-7.379163342E1,1.777758643E1,2.715063286E1,8.155915070E1,3.228504896E0,1.664683700E0
5.759517564E1,4.544899048E1,-7.379128541E1,1.783520814E1,2.757629585E1,8.202328491E1,3.278459072E0,1.680317521E0
5.859518064E1,4.544902480E1,-7.379093250E1,1.828766950E1,2.795614052E1,8.257946014E1,3.182651520E0,1.676054716E0
5.959518764E1,4.544905520E1,-7.379057668E1,1.833248579E1,2.830692101E1,8.300599670E1,3.173355103E0,1.676051140E0
