Latitude (°),Longitude (°)
45.4470137,-73.7968565
45.4470382,-73.7967788
45.4471172,-73.7968431
45.4471642,-73.7969075
45.4471962,-73.7969236
45.4473844,-73.7969906
45.4475312,-73.7970282
45.4476667,-73.7970389
45.4478134,-73.7969826
45.447932,-73.7969021
45.4480392,-73.79676
45.4481239,-73.7965722
45.4482707,-73.7960519
45.4484438,-73.7953223
45.4486094,-73.7944801
45.4486734,-73.7940778
45.4488371,-73.7928225
45.4490083,-73.7911595
45.4490704,-73.7905104
45.4491382,-73.7896575
45.4491984,-73.7888662
45.4492285,-73.7882869
45.4492529,-73.7877022
45.4492755,-73.7870477
45.4492868,-73.7864576
45.4492925,-73.7858353
45.4492925,-73.7853123
45.4492849,-73.7845103
45.4492755,-73.7839176
45.4492492,-73.7827374
45.449236,-73.7819649
45.4492153,-73.7809403
45.4491965,-73.7802
45.4491796,-73.7791915
45.4491589,-73.7783627
45.4491382,-73.7772201
45.4491099,-73.7757583
45.4490874,-73.7745513
45.4490761,-73.7735911
45.4490591,-73.7728186
45.449046,-73.7720863
45.449029,-73.7713943
45.4490196,-73.7706755
45.4490046,-73.7700935
45.4489952,-73.7694309
45.4489876,-73.7689991
45.4489688,-73.7680898
45.4489481,-73.7671001
45.4489255,-73.7660031
45.4489086,-73.7651555
45.4488917,-73.7641363
45.4488634,-73.7627469
45.4488503,-73.7620307
45.448822,-73.7604751
45.44879,-73.7589489
45.4487637,-73.7575595
45.4487515,-73.7571337
45.448742,-73.7567508
45.4487377,-73.7564284
45.4487123,-73.7559858
45.4486352,-73.754807
45.4485834,-73.7541271
45.4485496,-73.753596
45.4484875,-73.753077
45.4484094,-73.7522106
45.4483906,-73.7520698
45.4483454,-73.7520229
45.4482795,-73.7520215
45.4481459,-73.7519934
45.447875,-73.751921
45.447158,-73.7517466
45.447016,-73.7516903
45.4469529,-73.751642
45.4468983,-73.7515454
45.4468767,-73.7514261
45.4468579,-73.7512973
45.4467713,-73.7505571
45.4467563,-73.7504685
45.4467327,-73.750435
45.4466754,-73.7504122
45.4462435,-73.7502942
45.4448487,-73.7499093
45.4448092,-73.7499039
45.4447819,-73.7499106
45.4447555,-73.7499468
45.4447508,-73.7500273
45.4448092,-73.7503652
45.4448995,-73.7508373
45.4449032,-73.7509258
